0,1,2,3,4,5,6
www.nature.com/scientificreports/,,,,,,
,Gram Yield (gProduct/,,,,,
Condition,gCat-h),Carbon Yield (%)a,Carbon content (%)b,CNT purity (%)c,H2/CO (–)d,Syngas purity (%)
700 °C,0.38,0.2,12.3,19.2,0.4,35.3
800 °C,2.60,11.8,87.2,84.0,1.1,90.0
900 °C,2.50,11.3,86.7,83.7,1.1,93.9
1000 °C,0.75,2.1,55.6,54.9,0.9,88.6
1100 °C,0.50,0.9,33.3,37.1,0.9,77.4
Bayer®,n.d,n.d,–,98.4,–,–
