0,1,2,3,4,5,6
,Table A-9. Net Element and Feedstock Balance for Gasification of Lignin (moist),,,,,
,with Ethanol Production for a 45% Thermal Efficiency Process,,,,,
,,"Input, lb/hr",,,"Output, lb/hr",
,Biomass,H2O,O2,CO2,H2O,EtOH
C,1791,,,1178,,614
H,591,,,,437,153
O,4292,,2756,3140,3499,409
Subtotal,6675,0,2756,4318,3937,1176
Total,,,9430,,,9430
,Table A-10. Net Element and Feedstock Balance for Gasification of Lignin (moist),,,,,
,with Diesel Production for a 45% Thermal Efficiency Process,,,,,
,,"Input, lb/hr",,,"Output, lb/hr",
,Biomass,H2O,O2,CO2,H2O,Diesel
C,1791,,,1134,,657
H,591,,,,474,116
O,4292,,2528,3025,3796,0
Subtotal,6675,0,2528,4159,4270,773
Total,,,9203,,,9203
,Table A-11. Net Element and Feedstock Balance for Gasification of Lignin (moist),,,,,
,with Ethanol Production for a 55% Thermal Efficiency Process,,,,,
,,"Input, lb/hr",,,"Output, lb/hr",
,Biomass,H2O,O2,CO2,H2O,EtOH
C,1466,,,852,,614
H,483,,,,330,153
O,3512,,1809,2272,2640,409
Subtotal,5461,0,1809,3124,2970,1176
Total,,,7270,,,7270
,Table A-12. Net Element and Feedstock Balance for Gasification of Lignin (moist),,,,,
,with Diesel Production for a 55% Thermal Efficiency Process,,,,,
,,"Input, lb/hr",,,"Output, lb/hr",
,Biomass,H2O,O2,CO2,H2O,Diesel
C,1466,,,809,,657
H,483,,,,367,116
O,3512,,1581,2156,2937,0
Subtotal,5461,0,1581,2965,3304,773
Total,,,7042,,,7042
,,,A-5,,,
