0,1,2,3,4,5
,compounds along with the fraction in total waste and the concentration of each,,,,
,"respective organic species in 5, 15, 25, and 35 wt% of total organic concentration.",,,,
Total Organics Species,NormalizedPrevalence (%),,Organic Feed Concentration (wt%),,
,,5,15,25,35
Chloroform,15.86,0.79,2.38,3.97,5.55
Acetone,15.67,0.78,2.35,3.92,5.48
Dichloromethane,4.44,0.22,0.67,1.11,1.56
Ethyl acetate,6.78,0.34,1.02,1.70,2.37
Ethyl ether,7.36,0.37,1.10,1.84,2.57
Hexane,8.01,0.40,1.20,2.00,2.80
Isopropyl alcohol,10.46,0.52,1.57,2.61,3.66
Methanol,18.93,0.95,2.84,4.73,6.62
Toluene,5.63,0.28,0.84,1.41,1.97
Xylene,6.86,0.34,1.03,1.71,2.40
Total,100.00,5.00,15.00,25.00,35.00
