0,1,2,3,4,5
road and rail foundations [22].,,,,The typical composition of various tyres is provided in Table 1,
Table 1. Typical composition of various tyres,,,,,
,Tyre 1,Tyre 2,Tyre 3,Tyre 4,Tyre 5
Components,,,,,
,composition (wt%),composition (wt%),composition (wt%),composition (wt%),composition (wt%)
Rubber,38.0,50.5,50.0,51.0,62.1
Fillers,30.0,25.5,25.0,26.0,31.0
Reinforcing agents,16.0,13.4,10.0,Small amount,Small amount
Plasticizers,10.0,05.5,Small amount,13.0,01.9
Vulcanization agents,04.0,,02.0,03.0,03.0
Antioxidants,01.0,,Small amount,Small amount,Small amount
Miscellaneous substances,01.0,04.7,Small amount,07.0,01.9
Reference,"Nkosi and Muzenda [24],",JATMA [25],Aranda et al. [26],Bajus and Olahová,Amari et al. [28]
,Muzenda [10],,,[27],
