0,1,2,3,4,5,6,7
Table 20. CFBR Product Gas Composition and Heating Value,,,,,,,
Test,"H2, %","CH4, %","CO, %","CO2, %","N2, %","H2S, ppm","HV, kJ/m3"
1,8.2,2.2,7.3,17.2,65.58,1584,2682
2,7.8,1.5,5.1,18.2,66.36,1302,2124
3,5.9,1.1,6.4,16.9,69.23,835,1900
4,5.7,0.5,4.2,18.0,71.15,1923,1379
5,7.9,0.5,6.2,17.4,67.29,1881,1900
6,7.8,0.9,8.8,16.0,65.89,1833,2347
7,9.3,4.1,11.0,52.2,23.60,3699,3987
8,8.7,3.8,9.9,63.7,13.66,6406,3689
9,11.4,4.0,13.9,65.3,4.50,7306,4546
10,11.4,4.5,16.3,62.5,4.76,7146,5030
11,15.4,4.0,22.3,55.1,3.87,4717,6036
12,16.9,4.9,25.1,50.4,3.67,5948,6893
