0,1,2,3,4,5,6,7,8,9
T(°C),Condition,Feed Ratios,,Equilibrium Product,,,,,H2/CO
,,"CO2/ 
CH4","H2O/ 
CH4",H2,CH4,CO,CO2,H2O,
650,SMR,-,3,54.7%,1.6%,7.6%,8.0%,28.1%,7.2
800,SMR,-,3,55.7%,0.0%,10.8%,5.8%,27.6%,5.1
900,SMR,-,3,54.8%,0.0%,11.8%,4.8%,28.5%,4.6
650,Dry,3,-,22.6%,2.0%,38.8%,28.6%,8.1%,0.6
800,Dry,3,-,22.6%,0.0%,44.0%,22.7%,10.7%,0.5
900,Dry,3,-,21.0%,0.0%,45.6%,21.0%,12.3%,0.5
650,1,1,2,43.9%,2.4%,16.4%,16.2%,21.2%,2.7
800,1,1,2,44.8%,0.1%,21.8%,11.6%,21.9%,2.1
900,1,1,2,43.3%,0.0%,23.4%,10.0%,23.4%,1.9
650,2,0.5,2,50.5%,3.2%,14.1%,11.7%,20.5%,3.6
800,2,0.5,2,53.1%,0.1%,19.5%,7.8%,19.6%,2.7
900,2,0.5,2,52.0%,0.0%,20.8%,6.5%,20.7%,2.5
650,3,0.2,2,55.4%,3.8%,12.2%,8.9%,19.7%,4.6
800,3,0.2,2,59.2%,0.1%,17.4%,5.6%,17.6%,3.4
900,3,0.2,2,58.4%,0.0%,18.5%,4.6%,18.5%,3.2
650,4,1,1,42.9%,5.4%,24.1%,14.8%,12.8%,1.8
800,4,1,1,48.0%,0.2%,31.5%,8.4%,11.8%,1.5
900,4,1,1,47.1%,0.0%,32.9%,7.1%,12.9%,1.4
650,5,0.5,1,49.8%,8.2%,20.8%,9.8%,11.4%,2.4
800,5,0.5,1,58.8%,0.5%,29.1%,4.1%,7.6%,2.0
900,5,0.5,1,58.7%,0.1%,30.1%,3.2%,8.0%,1.9
