0,1,2,3,4,5
COMPONENT,UNITS,209A,330,209B,330C
Total Flow,lb/hr,"473,382","285,985","473,382","285,985"
Temperature,F,258,"1,670",400,179
Pressure,Psia,29.0,25.7,28.9,24.7
Vapor Fraction,,1,1,1,1
Hydrogen (H2),lb/hr,-,"13,303",-,"13,303"
Carbon Monoxide (CO),lb/hr,-,"87,773",-,"87,773"
Nitrogen (N2),lb/hr,"350,531",404,"350,531",404
Oxygen (O2),lb/hr,"107,403",-,"107,403",-
Argon (Ar),lb/hr,"5,979",-,"5,979",-
Carbon Dioxide (CO2),lb/hr,233,"83,544",233,"83,544"
Water (H2O),lb/hr,"9,236","96,689","9,236","96,689"
Hydrogen Sulfide (H2S),lb/hr,-,151,-,151
Sulfur dioxide (SO2),lb/hr,-,-,-,-
Ammonia (NH3),lb/hr,-,33,-,33
Nitrogen dioxide (NO2),lb/hr,-,-,-,-
Methane (CH4),lb/hr,-,"3,201",-,"3,201"
Ethane (C2H6),lb/hr,-,5,-,5
Ethylene (C2H4),lb/hr,-,757,-,757
Acetylene (C2H2),lb/hr,-,66,-,66
Propane (C3H8),lb/hr,-,0,-,0
Propene (C3H6),lb/hr,-,-,-,-
I-Butane (C4H10),lb/hr,-,0,-,0
N-Butane (C4H10),lb/hr,-,0,-,0
Butenes (C4H8),lb/hr,-,-,-,-
Pentanes (C5H12),lb/hr,-,0,-,0
Pentenes (C5H10),lb/hr,-,-,-,-
Hexanes (C6H14),lb/hr,-,-,-,-
Hexenes (C6H12),lb/hr,-,-,-,-
Benzene (C6H6),lb/hr,-,6,-,6
Heptanes (C7H16),lb/hr,-,-,-,-
Triptane,lb/hr,-,-,-,-
Heptenes (C7H14),lb/hr,-,-,-,-
Triptene,lb/hr,-,-,-,-
Octanes (C8H18),lb/hr,-,-,-,-
Octenes (C8H16),lb/hr,-,-,-,-
N-Nonanes (C9H20),lb/hr,-,-,-,-
N-Nonenes (C9H18),lb/hr,-,-,-,-
Hexamethylbenzene (C6(CH3)6),lb/hr,-,-,-,-
Tar (C10H8),lb/hr,-,2,-,2
Carbon (Solid),lb/hr,-,-,-,-
Sulfur (Solid),lb/hr,-,-,-,-
Olivine + MgO (Solid),lb/hr,-,47,-,47
Methanol (CH4O),lb/hr,-,0,-,0
Dimethyl ether (C2H6O),lb/hr,-,-,-,-
MDEA (C5H13NO2),lb/hr,-,-,-,-
Ash,lb/hr,-,0,-,0
Char,lb/hr,-,4,-,4
Wood,lb/hr,-,0,-,0
Enthalpy Flow,MMBTU/hr,(33),(803),(17),"(1,026)"
