0,1,2,3,4,5,6,7,8,9,10
Table 4.,Experimental,responses of,the used DOE.,,,,,,,
Run order,H2,CH4,CO,CO2,C2H4,C2H6,C4H10,C3H8,GE (%),L.C.V (kJ/mol)
1,0.401,0.015,0.020,0.378,0.0024,0.004,0.00182,0.007,20.410,142.580
2,0.660,0.197,0.001,0.558,0.0059,0.053,0.00139,0.036,34.880,479.706
3,0.572,0.085,0.010,0.679,0.0123,0.029,0.00384,0.029,38.266,337.331
4,0.675,0.238,0.002,0.630,0.0019,0.079,0.00070,0.037,39.740,549.187
5,0.293,0.013,0.029,0.265,0.0022,0.005,0.00227,0.009,15.172,123.056
6,0.477,0.175,0.002,0.500,0.0055,0.059,0.00155,0.042,31.893,439.056
7,0.254,0.035,0.000,0.190,0.0033,0.006,0.00065,0.006,10.804,116.740
8,0.454,0.199,0.002,0.490,0.0023,0.070,0.00230,0.042,32.043,467.130
9,0.221,0.000,0.043,0.194,0.0000,0.001,0.00069,0.002,11.229,72.741
10,0.665,0.182,0.001,0.547,0.0046,0.050,0.00099,0.034,33.862,458.875
11,0.540,0.094,0.000,0.431,0.0068,0.017,0.00179,0.017,24.892,279.106
12,0.530,0.181,0.002,0.442,0.0022,0.056,0.00052,0.024,28.145,407.558
13,0.142,0.004,0.037,0.152,0.0008,0.001,0.00086,0.003,9.024,59.187
14,0.430,0.150,0.003,0.428,0.0038,0.049,0.00287,0.035,27.342,380.393
15,0.313,0.050,0.003,0.374,0.0062,0.017,0.00164,0.012,20.881,179.409
16,0.458,0.189,0.004,0.474,0.0022,0.064,0.00228,0.039,30.774,443.818
17,0.528,0.011,0.001,0.396,0.0024,0.003,0.00062,0.004,20.721,155.261
18,0.719,0.196,0.001,0.511,0.0057,0.049,0.00160,0.028,32.237,472.056
19,0.508,0.039,0.001,0.375,0.0053,0.008,0.00139,0.009,20.603,195.583
20,0.605,0.187,0.001,0.484,0.0032,0.052,0.00144,0.027,30.519,436.067
21,0.305,0.032,0.001,0.319,0.0040,0.010,0.00116,0.008,17.340,139.915
22,0.520,0.145,0.003,0.437,0.0071,0.040,0.00155,0.029,27.351,373.304
23,0.366,0.040,0.001,0.307,0.0044,0.011,0.00134,0.012,17.228,170.811
24,0.494,0.233,0.003,0.496,0.0022,0.073,0.00119,0.039,32.804,497.604
25,0.488,0.025,0.001,0.390,0.0042,0.006,0.00117,0.007,20.850,171.005
26,0.823,0.230,0.001,0.581,0.0047,0.057,0.00108,0.034,36.811,545.917
27,0.687,0.069,0.001,0.584,0.0090,0.016,0.00197,0.017,32.203,297.055
28,0.643,0.224,0.001,0.519,0.0015,0.067,0.00061,0.028,33.280,493.473
29,0.249,0.006,0.017,0.254,0.0014,0.002,0.00094,0.004,13.669,85.244
30,0.536,0.177,0.003,0.481,0.0047,0.054,0.00326,0.037,30.826,441.008
31,0.487,0.079,0.002,0.452,0.0062,0.021,0.00158,0.020,25.876,266.126
32,0.467,0.178,0.002,0.426,0.0021,0.056,0.00202,0.033,27.774,412.634
