0,1,2,3,4,5,6,7
"Temp.  
(°C)","Reforming 
Condition",Gas Feed,,,,Ratios,
,,CH4,CO2,H2O,CO,CO2/CH4  H2O/CH4,
650,SMR,25.0%,0.0%,75.0%,0.0%,-,3
800,SMR,25.0%,0.0%,75.0%,0.0%,-,3
900,SMR,25.0%,0.0%,75.0%,0.0%,-,3
650,Dry,25.0%,75.0%,0.0%,0.0%,3,-
800,Dry,25.0%,75.0%,0.0%,0.0%,3,-
900,Dry,25.0%,75.0%,0.0%,0.0%,3,-
650,1,25.0%,25.0%,50.0%,0.0%,1,2
800,1,25.0%,25.0%,50.0%,0.0%,1,2
900,1,25.0%,25.0%,50.0%,0.0%,1,2
650,2,28.6%,14.3%,57.1%,0.0%,0.5,2
800,2,28.6%,14.3%,57.1%,0.0%,0.5,2
900,2,28.6%,14.3%,57.1%,0.0%,0.5,2
650,3,31.3%,6.3%,62.5%,0.0%,0.2,2
800,3,31.3%,6.3%,62.5%,0.0%,0.2,2
900,3,31.3%,6.3%,62.5%,0.0%,0.2,2
650,4,33.3%,33.3%,33.3%,0.0%,1,1
800,4,33.3%,33.3%,33.3%,0.0%,1,1
900,4,33.3%,33.3%,33.3%,0.0%,1,1
650,5,40.0%,20.0%,40.0%,0.0%,0.5,1
800,5,40.0%,20.0%,40.0%,0.0%,0.5,1
900,5,40.0%,20.0%,40.0%,0.0%,0.5,1
