0,1,2,3,4,5,6,7,8,9,10,11,12
Table 32. Summary of Process Data,,,,,,,,,,,,
Test No:,1,2,3,4,5,6,7,8,9,10,11,12
"Fuel Feed Rate, kg/hr",402,384,362,368,376,380,360,360,351,365,353,450
"Sorbent Feed Rate, kg/hr",0,0,0,0,0,0,23,25,6,30,49,40
"Combustor Pressure Drop, kPa",13.83,13.92,15.84,14.35,14.20,12.50,12.50,11.96,13.00,14.92,16.12,15.10
Combustion Air:,,,,,,,,,,,,
"EHX Flow, m3/min",1.10,1.13,1.13,1.10,1.10,1.08,1.08,1.05,1.08,1.05,1.05,1.05
"Primary Air, m3/min",6.77,6.77,6.37,8.27,5.49,6.74,6.49,6.46,6.40,6.06,6.09,6.00
"Secondary Air, m3/min",4.62,4.96,5.04,3.60,6.15,4.79,4.76,4.42,4.25,4.19,4.11,4.39
"Feed Assist Air, m3/min",0.25,0.23,0.23,0.20,0.20,0.17,0.23,0.14,0.23,0.23,0.23,0.25
"DC Aeration Air, m3/min",0.99,0.99,0.99,0.76,0.82,0.82,0.99,0.91,0.82,0.82,0.82,0.82
"Purge Air, m3/min",0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
"Total Air, m3/min",14.16,14.53,14.22,14.39,14.24,14.05,13.99,13.42,13.23,12.80,12.74,12.97
"PA/SA, %",55.60,54.40,52.80,65.10,46.40,55.60,54.00,56.00,56.50,55.50,55.90,54.40
"Excess Air, %",26.50,25.90,27.40,30.20,25.90,25.30,31.30,31.20,34.80,26.30,29.20,25.60
"FG SGV, m/sec",5.61,5.70,5.46,5.52,5.55,5.67,5.36,5.27,4.97,4.94,5.06,5.79
"EHX SGV, m/sec",0.45,0.45,0.45,0.44,0.45,0.45,0.44,0.44,0.46,0.45,0.45,0.45
Bagfouse Air/Cloth,2.65,2.51,2.40,2.48,2.46,2.39,2.38,2.35,2.60,2.42,2.47,2.14
Flue Gas (Baghouse Outlet):,,,,,,,,,,,,
"Flow Rate, m3/min",15.97,15.75,15.97,15.69,15.18,13.00,12.86,15.01,15.41,14.95,14.92,16.77
"Oxygen, %",4.8,4.7,6.0,5.5,5.0,4.6,5.11,5.34,5.59,4.38,4.73,4.29
"SO2, ppm",1355,1347,1251,1239,1346,1356,317,325,195,624,263,256
"CO, %",0.0051,0.0091,0.0110,0.0039,0.0118,0.0038,0.0039,0.0048,0.0054,0.0047,0.0048,0.0091
"NOx, ppm",139,78,134,107,110,107,116,114,80,126,155,106
"CO2, %",15.6,15.7,14.8,15.2,15.3,15.5,15.5,15.4,15.3,16.0,16.1,16.0
"O2, Cyclone Exit, %",4.4,4.3,4.5,4.9,4.3,4.3,5.0,5.0,5.4,4.2,4.2,3.6
Spray Dryer Outlet:,,,,,,,,,,,,
"Flue Gas Flow, m3/min",,,,,,2.74,3.17,,,,,
"O2, %",,,,,,0.25,0.25,,,,,
"CO2, %",,,,,,0.45,0.45,,,,,
"CO, ppm",,,,,,0.68,0.74,,,,,
"SO2, ppm",,,,,,2.89,3.37,,,,,
