0,1,2,3,4,5,6
COMPONENT,UNITS,592,1000,1405,1411,1470
Total Flow,lb/hr,"87,710","87,710","87,710","87,710","87,710"
Temperature,F,145,150,150,437,482
Pressure,Psia,14.7,15.0,150.0,145.0,140.0
Vapor Fraction,,-,-,-,1,1
Hydrogen (H2),lb/hr,-,-,-,-,-
Carbon Monoxide (CO),lb/hr,-,-,-,-,-
Nitrogen (N2),lb/hr,-,-,-,-,-
Oxygen (O2),lb/hr,-,-,-,-,-
Argon (Ar),lb/hr,-,-,-,-,-
Carbon Dioxide (CO2),lb/hr,0,0,0,0,-
Water (H2O),lb/hr,"1,010","1,010","1,010","1,010","22,569"
Hydrogen Sulfide (H2S),lb/hr,-,-,-,-,-
Sulfur dioxide (SO2),lb/hr,-,-,-,-,-
Ammonia (NH3),lb/hr,0,0,0,0,0
Nitrogen dioxide (NO2),lb/hr,-,-,-,-,-
Methane (CH4),lb/hr,0,-,-,-,-
Ethane (C2H6),lb/hr,0,0,0,0,0
Ethylene (C2H4),lb/hr,0,0,0,0,0
Acetylene (C2H2),lb/hr,0,0,0,0,0
Propane (C3H8),lb/hr,0,0,0,0,0
Propene (C3H6),lb/hr,-,-,-,-,-
I-Butane (C4H10),lb/hr,0,0,0,0,0
N-Butane (C4H10),lb/hr,0,0,0,0,0
Butenes (C4H8),lb/hr,-,-,-,-,-
Pentanes (C5H12),lb/hr,0,0,0,0,0
Pentenes (C5H10),lb/hr,-,-,-,-,-
Hexanes (C6H14),lb/hr,-,-,-,-,-
Hexenes (C6H12),lb/hr,-,-,-,-,-
Benzene (C6H6),lb/hr,3,3,3,3,3
Heptanes (C7H16),lb/hr,-,-,-,-,-
Triptane,lb/hr,-,-,-,-,-
Heptenes (C7H14),lb/hr,-,-,-,-,-
Triptene,lb/hr,-,-,-,-,-
Octanes (C8H18),lb/hr,-,-,-,-,-
Octenes (C8H16),lb/hr,-,-,-,-,-
N-Nonanes (C9H20),lb/hr,-,-,-,-,-
N-Nonenes (C9H18),lb/hr,-,-,-,-,-
Hexamethylbenzene (C6(CH3)6),lb/hr,-,-,-,-,-
Tar (C10H8),lb/hr,0,0,0,0,0
Carbon (Solid),lb/hr,-,-,-,-,-
Sulfur (Solid),lb/hr,-,-,-,-,-
Olivine + MgO (Solid),lb/hr,-,-,-,-,-
Methanol (CH4O),lb/hr,"86,697","86,697","86,697","86,697","10,008"
Dimethyl ether (C2H6O),lb/hr,-,-,-,-,"55,131"
MDEA (C5H13NO2),lb/hr,-,-,-,-,-
Ash,lb/hr,-,-,-,-,-
Char,lb/hr,-,-,-,-,-
Wood,lb/hr,-,-,-,-,-
Enthalpy Flow,MMBTU/hr,(280),(280),(280),(229),(237)
