0,1,2,3,4,5,6,7,8,9,10,11,12
,,,J. Amaro et al.,,,,,,,,,381
Table 6,,,,,,,,,,,,
Validation of modiﬁed chemical equilibrium model applied to ﬂuidized bed gasiﬁcation.,,,,,,,,,,,,
Reference,ER,S/B,Oxygen flow rate,O/Ba,TGas((cid:6)C),nCC,H2,CO,CO2,CH4,N2,RMS
,,,ðNm3=hÞ,,,ð%Þ,ð%Þ,ð%Þ,ð%Þ,ð%Þ,ð%Þ,
Karmakar et al. [8],0.35,0.00,0.00,0.00,700,82.68,14.63,22.47,16.67,1.32,44.91,
Predictive model,0.35,0.00,0.00,0.00,700,94.32,15.09,19.31,17.05,1.75,46.80,1.68
Radmanesh et al. [14],0.32,0.00,0.00,0.00,805,e,9.20,16.20,12.70,2.50,59.60,
Predictive model,0.32,0.00,0.00,0.00,805,71.58,13.56,14.01,15.00,2.40,55.03,3.16
Arteaga-P(cid:1)erez et al. [16],0.34,0.00,0.00,0.00,801.5,e,5.40,16.18,13.67,3.54,60.49,
Predictive model,0.34,0.00,0.00,0.00,801.5,76.43,8.31,12.99,15.63,4.53,58.55,2.33
Sarker et al. [43],0.35,0.00,0.00,0.00,874,e,3.84,14.31,14.98,2.67,64.20,
Predictive model,0.35,0.00,0.00,0.00,874,63.11,5.69,11.26,15.01,2.99,65.04,1.65
Karmakar and Datta [19],0.00,1.32,0.00,0.00,650,84.10,47.25,11.25,31.90,9.60,0.00,
Predictive model,0.00,1.32,0.00,0.00,650,100.00,48.49,11.69,32.31,7.51,0.00,1.25
Loha et al. [7],0.00,1.00,0.00,0.00,750,e,49.50,23.70,21.20,5.60,0.00,
Predictive model,0.00,1.00,0.00,0.00,750,100.00,46.71,27.87,20.73,4.69,0.00,2.56
Vecchione et al. [25],0.00,0.70,0.00,0.00,830,e,47.93,21.11,22.81,8.15,0.00,
Predictive model,0.00,0.70,0.00,0.00,830,100.00,46.91,21.84,20.64,10.61,0.00,1.76
Campoy et al. [28],0.19,0.28,0.00,0.00,727,89.00,16.20,11.50,18.60,5.90,47.80,
Predictive model,0.19,0.28,0.00,0.00,727,60.57,16.60,11.00,19.60,6.60,46.20,0.94
Loha et al. [17],0.35,0.50,0.00,0.00,750,71.90,9.20,12.80,20.80,2.10,55.10,
Predictive model,0.35,0.50,0.00,0.00,750,79.61,10.90,14.30,20.40,1.70,52.70,1.50
Sethupathy Subbaiah et al. [29],0.18,0.30,0.00,0.00,750,81.37,20.92,17.56,16.41,4.50,40.61,
Predictive model,0.18,0.30,0.00,0.00,750,67.43,21.93,17.20,14.83,5.52,40.51,0.97
Campoy et al. [23],0.25,0.31,1.40,0.1235,781,96.00,31.60,32.90,24.90,10.60,0.00,
Predictive model,0.25,0.31,1.40,0.1235,781,100.00,34.70,36.30,24.60,4.50,0.00,3.82
Campoy et al. [23],0.24,0.58,1.00,0.1190,765,96.00,34.30,23.50,31.30,10.90,0.00,
Predictive model,0.24,0.58,1.00,0.1190,765,100.00,38.40,28.80,28.30,4.60,0.00,4.84
,a This magnitude is calculated according to the theoretical development proposed in this work.,,,,,,,,,,,
