0,1,2,3,4,5
Table 30. Coal Analyses,,,,,
,Tests 1–5,Tests 6–8,Test 9,Tests 10–11,Test 12
,"Proximate Analysis, as-received, wt%",,,,
Moisture,25.40,27.20,26.10,21.40,40.00
Volatile Matter,17.64,17.77,18.40,19.68,15.02
Fixed Carbon,6.24,7.08,7.36,7.02,5.36
Ash,50.72,47.95,48.13,51.90,39.62
,"Ultimate Analysis, as-received, wt%",,,,
Carbon,15.29,14.80,16.40,15.81,12.07
Hydrogen,1.91,1.88,2.07,1.90,1.45
Nitrogen,0.35,0.37,0.38,0.35,0.27
Sulfur,0.44,0.46,0.43,0.45,0.34
Oxygen,5.88,7.33,6.49,8.19,6.26
Ash,50.72,47.95,48.13,51.90,39.61
Moisture,25.40,27.20,26.10,21.40,40.00
"Ash Composition, % as oxides",,,,,
"Calcium, CaO",2.80,3.00,2.80,4.60,4.60
"Magnesium, MgO",1.65,1.67,1.68,1.65,1.65
"Sodium, Na2O",0.35,0.35,0.31,0.38,0.38
"Silica, SiO2",57.60,57.00,57.20,56.40,56.40
"Aluminum, Al2O3",27.50,27.60,28.20,26.70,26.70
"Ferric, Fe2O3",5.39,5.47,5.43,5.31,5.31
"Titanium, TiO2",0.68,0.69,0.67,0.70,0.70
"Phosphorus, P2O5",0.16,0.15,0.15,0.15,0.15
"Potassium, K2O",1.72,1.79,1.70,1.73,1.73
"Sulfur, SO3",2.11,2.27,1.88,2.44,2.44
HHV,,,,,
"moisture-free, kJ/kg",5861,6358,7455,6984,6984
"as-received, kJ/kg",4374,4627,5506,5492,4190
