0,1,2,3,4,5,6,7,8,9
Table 9,Summary of selected process streams for the SAB process,,,,,,,,
Stream ID,,,,,,,,,
Parameter,Unit,SYNG-1,MEOHREG,CO2RC-1,SYNG-11,BIOG-2,BIOMTN,TAILS-0,FLUE-7
Temperature,C,815.0,80.0,61.9,60.0,5.0,35.0,21.8,120.0
Pressure,bar,1.0,1.8,1.2,1.0,4.0,79.6,1.0,1.0
Total mole flow,kmol/day,9125.1,5214.3,161.3,7207.4,2929.5,1726.1,8717.3,"10,847.0"
Mole fractions,,5.07,0.00,0.26,5.69,58.99,97.11,1.20,0.00
CH4,,19.59,0.00,0.00,62.48,7.69,1.30,2.33,0.00
H2,,11.95,0.00,0.07,14.53,1.79,0.15,1.07,0.00
CO,,18.02,0.00,20.22,15.62,27.39,1.16,14.92,25.68
CO2,,41.36,0.01,0.00,0.00,0.00,0.01,2.18,20.07
,%,,,,,,,,
H2O,,0.00,0.00,0.00,0.00,0.00,0.00,58.47,46.99
C2H2,,0.07,0.00,0.37,0.05,0.12,0.00,0.07,0.00
C2H4,,1.53,0.00,0.93,1.39,3.41,0.00,1.60,0.00
CH3OH,,0.00,99.54,75.44,0.06,0.16,0.27,2.27,0.00
H2S,ppmmol,106.4,0.0,1133.7,17.0,41.9,0.7,111.2,0.0
NH3,,567.3,0.0,"22,834.5",1.4,3.4,0.1,591.7,0.0
