0,1,2,3,4,5,6,7,8,9
COMPONENT,UNITS,1471,1472V,1472,1405,1472A,1510D,1510C,1504
Total Flow,lb/hr,"372,153","372,153","372,153","87,710","372,153","6,688",352,"46,621"
Temperature,F,375,250,250,150,180,173,173,173
Pressure,Psia,90.0,85.0,85.0,150.0,80.0,147.0,147.0,312.2
Vapor Fraction,,1,1,1,-,1,1,1,-
Hydrogen (H2),lb/hr,4,4,4,-,4,-,-,0
Carbon Monoxide (CO),lb/hr,-,-,-,-,-,-,-,-
Nitrogen (N2),lb/hr,-,-,-,-,-,-,-,-
Oxygen (O2),lb/hr,-,-,-,-,-,-,-,-
Argon (Ar),lb/hr,-,-,-,-,-,-,-,-
Carbon Dioxide (CO2),lb/hr,-,-,-,0,-,-,-,-
Water (H2O),lb/hr,"32,989","32,989","32,989","1,010","32,989",42,2,355
Hydrogen Sulfide (H2S),lb/hr,-,-,-,-,-,-,-,-
Sulfur dioxide (SO2),lb/hr,-,-,-,-,-,-,-,-
Ammonia (NH3),lb/hr,0,0,0,0,0,-,-,0
Nitrogen dioxide (NO2),lb/hr,-,-,-,-,-,-,-,-
Methane (CH4),lb/hr,"36,306","36,306","36,306",-,"36,306",-,-,69
Ethane (C2H6),lb/hr,"7,741","7,741","7,741",0,"7,741",-,-,74
Ethylene (C2H4),lb/hr,"5,189","5,189","5,189",0,"5,189",-,-,34
Acetylene (C2H2),lb/hr,0,0,0,0,0,-,-,0
Propane (C3H8),lb/hr,"24,068","24,068","24,068",0,"24,068",0,0,703
Propene (C3H6),lb/hr,289,289,289,-,289,0,0,7
I-Butane (C4H10),lb/hr,"107,606","107,606","107,606",0,"107,606","6,329",333,"6,731"
N-Butane (C4H10),lb/hr,"1,286","1,286","1,286",0,"1,286",101,5,107
Butenes (C4H8),lb/hr,"2,624","2,624","2,624",-,"2,624",177,9,187
Pentanes (C5H12),lb/hr,"5,910","5,910","5,910",0,"5,910",3,0,"1,034"
Pentenes (C5H10),lb/hr,"4,028","4,028","4,028",-,"4,028",0,0,759
Hexanes (C6H14),lb/hr,"4,840","4,840","4,840",-,"4,840",0,0,"1,793"
Hexenes (C6H12),lb/hr,"1,015","1,015","1,015",-,"1,015",0,0,423
Benzene (C6H6),lb/hr,5,5,5,3,5,0,0,3
Heptanes (C7H16),lb/hr,"3,684","3,684","3,684",-,"3,684",0,0,"2,461"
Triptane,lb/hr,"18,139","18,139","18,139",-,"18,139",0,0,"9,625"
Heptenes (C7H14),lb/hr,"2,587","2,587","2,587",-,"2,587",0,0,"1,741"
Triptene,lb/hr,"1,989","1,989","1,989",-,"1,989",0,0,969
Octanes (C8H18),lb/hr,"18,563","18,563","18,563",-,"18,563",0,0,"14,826"
Octenes (C8H16),lb/hr,839,839,839,-,839,0,0,587
N-Nonanes (C9H20),lb/hr,317,317,317,-,317,0,0,299
N-Nonenes (C9H18),lb/hr,79,79,79,-,79,0,0,74
Hexamethylbenzene (C6(CH3)6),lb/hr,-,-,-,-,-,-,-,-
Tar (C10H8),lb/hr,0,0,0,0,0,-,-,0
Carbon (Solid),lb/hr,-,-,-,-,-,-,-,-
Sulfur (Solid),lb/hr,-,-,-,-,-,-,-,-
Olivine + MgO (Solid),lb/hr,-,-,-,-,-,-,-,-
Methanol (CH4O),lb/hr,-,-,-,"86,697",-,-,-,-
Dimethyl ether (C2H6O),lb/hr,"92,057","92,057","92,057",-,"92,057",36,2,"3,761"
MDEA (C5H13NO2),lb/hr,-,-,-,-,-,-,-,-
Ash,lb/hr,-,-,-,-,-,-,-,-
Char,lb/hr,-,-,-,-,-,-,-,-
Wood,lb/hr,-,-,-,-,-,-,-,-
Enthalpy Flow,MMBTU/hr,(555),(580),(580),(280),(592),(7),(0),(48)
