0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
COMPONENT,UNITS,1508A,1474B,478C,1470B,1470V,AIR1,AIR2,1470A,1470A1,1400WW3,1510D,1485,1471,FLUE-GAS
Total Flow,lb/hr,"3,337","292,468",698,"372,331","69,130","3,192","3,192","87,710","87,710","18,580","6,688","372,331","372,153","3,369"
Temperature,F,110,168,110,179,267,90,153,296,250,267,173,350,375,230
Pressure,Psia,200.0,135.0,410.0,134.0,134.0,14.7,19.7,135.0,134.0,134.0,147.0,129.0,90.0,19.7
Vapor Fraction,,-,1,1,1,1,1,1,1,1,-,1,1,1,1
Hydrogen (H2),lb/hr,0,4,698,712,-,-,-,-,-,-,-,712,4,-
Carbon Monoxide (CO),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nitrogen (N2),lb/hr,-,-,-,-,-,"2,364","2,364",-,-,-,-,-,-,"2,364"
Oxygen (O2),lb/hr,-,-,-,-,-,724,724,-,-,-,-,-,-,147
Argon (Ar),lb/hr,-,-,-,-,-,40,40,-,-,-,-,-,-,40
Carbon Dioxide (CO2),lb/hr,-,-,-,-,-,1,1,-,-,-,-,-,-,579
Water (H2O),lb/hr,0,"2,499",-,"6,530","3,989",62,62,"22,569","22,569","18,580",42,"6,530","32,989",240
Hydrogen Sulfide (H2S),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sulfur dioxide (SO2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ammonia (NH3),lb/hr,0,0,-,0,0,-,-,0,0,-,-,0,0,-
Nitrogen dioxide (NO2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Methane (CH4),lb/hr,10,"35,874",-,"35,884",-,-,-,-,-,-,-,"35,884","36,306",-
Ethane (C2H6),lb/hr,32,"7,590",-,"7,623",0,-,-,0,0,-,-,"7,623","7,741",-
Ethylene (C2H4),lb/hr,12,"5,103",-,"5,116",0,-,-,0,0,-,-,"5,116","5,189",-
Acetylene (C2H2),lb/hr,0,0,-,0,0,-,-,0,0,-,-,0,0,-
Propane (C3H8),lb/hr,473,"23,132",-,"23,605",0,-,-,0,0,-,0,"23,605","24,068",-
Propene (C3H6),lb/hr,5,279,-,284,-,-,-,-,-,-,0,284,289,-
I-Butane (C4H10),lb/hr,54,"99,866",-,"106,249",0,-,-,0,0,-,"6,329","106,249","107,606",-
N-Butane (C4H10),lb/hr,0,"1,167",-,"1,268",0,-,-,0,0,-,101,"1,268","1,286",-
Butenes (C4H8),lb/hr,0,"2,412",-,"2,590",-,-,-,-,-,-,177,"2,590","2,624",-
Pentanes (C5H12),lb/hr,0,"4,827",-,"4,830",0,-,-,0,0,-,3,"4,830","5,910",-
Pentenes (C5H10),lb/hr,0,"3,236",-,"3,237",-,-,-,-,-,-,0,"3,237","4,028",-
Hexanes (C6H14),lb/hr,0,"3,017",-,"3,017",-,-,-,-,-,-,0,"3,017","4,840",-
Hexenes (C6H12),lb/hr,0,587,-,587,-,-,-,-,-,-,0,587,"1,015",-
Benzene (C6H6),lb/hr,0,3,-,5,3,-,-,3,3,-,0,5,5,-
Heptanes (C7H16),lb/hr,0,"1,211",-,"1,211",-,-,-,-,-,-,0,"1,211","3,684",-
Triptane,lb/hr,0,"8,429",-,"8,429",-,-,-,-,-,-,0,"8,429","18,139",-
Heptenes (C7H14),lb/hr,0,838,-,838,-,-,-,-,-,-,0,838,"2,587",-
Triptene,lb/hr,0,"1,009",-,"1,009",-,-,-,-,-,-,0,"1,009","1,989",-
Octanes (C8H18),lb/hr,0,"3,699",-,"3,699",-,-,-,-,-,-,0,"3,699","18,563",-
Octenes (C8H16),lb/hr,0,250,-,250,-,-,-,-,-,-,0,250,839,-
N-Nonanes (C9H20),lb/hr,0,18,-,18,-,-,-,-,-,-,0,18,317,-
N-Nonenes (C9H18),lb/hr,0,5,-,5,-,-,-,-,-,-,0,5,79,-
Hexamethylbenzene (C6(CH3)6),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tar (C10H8),lb/hr,0,0,-,0,0,-,-,0,0,-,-,0,0,-
Carbon (Solid),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sulfur (Solid),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olivine + MgO (Solid),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Methanol (CH4O),lb/hr,-,-,-,"10,008","10,008",-,-,"10,008","10,008",-,-,"10,008",-,-
Dimethyl ether (C2H6O),lb/hr,"2,749","87,413",-,"145,329","55,131",-,-,"55,131","55,131",-,36,"145,329","92,057",-
MDEA (C5H13NO2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ash,lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Char,lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wood,lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enthalpy Flow,MMBTU/hr,(6),(377),0,(529),(140),(0),(0),(245),(264),(123),(7),(498),(555),(3)
