0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
COMPONENT,UNITS,1508FG,1482,1483,601A,1472,1472V,1472A,1473,1473A,1471B,1474RECY,1474B,1503,1400WW2
Total Flow,lb/hr,"1,694","4,649","4,649","4,088","372,153","372,153","372,153","372,153","372,153","295,423","292,468","292,468","46,621","30,110"
Temperature,F,102,96,173,111,250,250,180,140,110,110,110,168,110,168
Pressure,Psia,147.0,72.0,69.5,14.7,85.0,85.0,80.0,79.0,74.0,72.0,72.0,135.0,72.0,72.0
Vapor Fraction,,1,1,1,-,1,1,1,1,1,1,1,1,-,-
Hydrogen (H2),lb/hr,0,0,0,-,4,4,4,4,4,4,4,4,0,-
Carbon Monoxide (CO),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nitrogen (N2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oxygen (O2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Argon (Ar),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide (CO2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Water (H2O),lb/hr,2,27,27,"4,088","32,989","32,989","32,989","32,989","32,989","2,525","2,499","2,499",355,"30,110"
Hydrogen Sulfide (H2S),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sulfur dioxide (SO2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ammonia (NH3),lb/hr,0,0,0,-,0,0,0,0,0,0,0,0,0,-
Nitrogen dioxide (NO2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Methane (CH4),lb/hr,59,421,421,-,"36,306","36,306","36,306","36,306","36,306","36,236","35,874","35,874",69,-
Ethane (C2H6),lb/hr,42,118,118,-,"7,741","7,741","7,741","7,741","7,741","7,667","7,590","7,590",74,-
Ethylene (C2H4),lb/hr,22,74,74,-,"5,189","5,189","5,189","5,189","5,189","5,155","5,103","5,103",34,-
Acetylene (C2H2),lb/hr,0,0,0,-,0,0,0,0,0,0,0,0,0,-
Propane (C3H8),lb/hr,229,463,463,-,"24,068","24,068","24,068","24,068","24,068","23,365","23,132","23,132",703,-
Propene (C3H6),lb/hr,3,5,5,-,289,289,289,289,289,282,279,279,7,-
I-Butane (C4H10),lb/hr,347,"1,356","1,356",-,"107,606","107,606","107,606","107,606","107,606","100,875","99,866","99,866","6,731",-
N-Butane (C4H10),lb/hr,5,17,17,-,"1,286","1,286","1,286","1,286","1,286","1,179","1,167","1,167",107,-
Butenes (C4H8),lb/hr,9,34,34,-,"2,624","2,624","2,624","2,624","2,624","2,437","2,412","2,412",187,-
Pentanes (C5H12),lb/hr,0,49,49,-,"5,910","5,910","5,910","5,910","5,910","4,876","4,827","4,827","1,034",-
Pentenes (C5H10),lb/hr,0,33,33,-,"4,028","4,028","4,028","4,028","4,028","3,269","3,236","3,236",759,-
Hexanes (C6H14),lb/hr,0,30,30,-,"4,840","4,840","4,840","4,840","4,840","3,047","3,017","3,017","1,793",-
Hexenes (C6H12),lb/hr,0,6,6,-,"1,015","1,015","1,015","1,015","1,015",592,587,587,423,-
Benzene (C6H6),lb/hr,0,0,0,-,5,5,5,5,5,3,3,3,3,-
Heptanes (C7H16),lb/hr,0,12,12,-,"3,684","3,684","3,684","3,684","3,684","1,223","1,211","1,211","2,461",-
Triptane,lb/hr,0,85,85,-,"18,139","18,139","18,139","18,139","18,139","8,514","8,429","8,429","9,625",-
Heptenes (C7H14),lb/hr,0,8,8,-,"2,587","2,587","2,587","2,587","2,587",846,838,838,"1,741",-
Triptene,lb/hr,0,10,10,-,"1,989","1,989","1,989","1,989","1,989","1,019","1,009","1,009",969,-
Octanes (C8H18),lb/hr,0,37,37,-,"18,563","18,563","18,563","18,563","18,563","3,737","3,699","3,699","14,826",-
Octenes (C8H16),lb/hr,0,3,3,-,839,839,839,839,839,252,250,250,587,-
N-Nonanes (C9H20),lb/hr,0,0,0,-,317,317,317,317,317,18,18,18,299,-
N-Nonenes (C9H18),lb/hr,0,0,0,-,79,79,79,79,79,5,5,5,74,-
Hexamethylbenzene (C6(CH3)6),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tar (C10H8),lb/hr,0,0,0,-,0,0,0,0,0,0,0,0,0,-
Carbon (Solid),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sulfur (Solid),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olivine + MgO (Solid),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Methanol (CH4O),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dimethyl ether (C2H6O),lb/hr,976,"1,859","1,859",-,"92,057","92,057","92,057","92,057","92,057","88,296","87,413","87,413","3,761",-
MDEA (C5H13NO2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ash,lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Char,lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wood,lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enthalpy Flow,MMBTU/hr,(2),(6),(6),(28),(580),(580),(592),(629),(637),(387),(383),(377),(49),(205)
