0,1,2,3,4,5,6,7,8
results were averaged when multiple data points were available; they are shown in Table 1.,,,,,,,,
,Table 1: Elemental analyses used as starting basis for process model (averaged values when,,,,,,,
,,,multiple data points were available),,,,,
,,,,,,"Case B: 80% Pistachio Shells, 20%",,
,,Case A: Mixed Pistachio Waste,,,Fines,,,
,Feed,Biochar,Tar,Vinegar,Feed,Biochar,Tar,Vinegar
,(dry),(dry),(wet),(wet),(dry),(dry),(wet),(wet)
Carbon,48.45,86.61,62.77,7.73,47.76,67.91,60.03,8.30
Hydrogen,6.36,1.53,7.42,10.36,6.36,1.15,7.93,10.37
Oxygen,44.05,6.04,27.19,81.51,38.75,5.87,28.72,80.70
Nitrogen,0.37,0.72,2.40,0.34,1.79,1.13,2.98,0.48
Sulfur,0.03,0.05,0.10,0.01,0.13,0.14,0.20,0.01
Ash,0.73,5.04,0.11,0.04,5.21*,23.81,0.14,0.14
* Measured ash was 13.39%. This was deemed high after some scrutiny and inspection of previous analysis. The,,,,,,,,
