0,1,2,3,4,5,6,7
4.1 Main stream results,,,,,,,
Table 5. Main stream results for the thermochemical part.,,,,,,,
Stream No,1,2,3,4,5,6,7
Mass flow (kg/s),16.60,20.24,6.92,18.83,19.70,3.10,12.89
Temp (°C),780,880,350,400,900,350,15
Press (bar),1.3,1.1,1.5,1.5,1.1,1.5,1.1
,,,Composition (vol. %),,,,
H2,29.07,-,-,-,35.75,-,53.38
CO,10.95,-,-,-,16.64,-,24.85
CO2,14.78,16.16,-,-,12.59,-,18.79
H2O,37.09,1.91,1,-,34.05,63.98,1.57
N2,119 ppm,77.90,-,0.79,712 ppm,-,0.1
H2S,186 ppm,-,-,-,143 ppm,-,64 ppm
CH4,5.49,-,-,-,0.85,-,1.27
NH3,0.2,-,-,-,308 ppm,-,122 ppm
HCN,12 ppm,-,-,-,2 ppm,-,2.5 ppm
COS,11 ppm,-,-,-,-,-,-
C2H4,1.81,-,-,-,-,-,-
C6H6,0.4,-,-,-,30 ppm,-,36 ppm
C10H8,0.2,-,-,-,1 ppm,-,-
O2,-,4.02,-,0.21,-,36.02,-
