0,1,2,3,4,5,6,7,8
COMPONENT,UNITS,330C,331,432,315,315SCRUB,314,336
Total Flow,lb/hr,"285,985","190,834","1,015","212,665","1,501","75,638",101
Temperature,F,179,110,110,137,136,130,130
Pressure,Psia,24.7,430.0,420.0,22.7,35.0,35.0,35
Vapor Fraction,,1,1,-,1,-,-,-
Hydrogen (H2),lb/hr,"13,303","13,303",0,"13,303",0,0,-
Carbon Monoxide (CO),lb/hr,"87,773","87,728",0,"87,728",0,0,-
Nitrogen (N2),lb/hr,404,404,0,404,0,0,-
Oxygen (O2),lb/hr,-,-,-,-,-,-,-
Argon (Ar),lb/hr,-,-,-,-,-,-,-
Carbon Dioxide (CO2),lb/hr,"83,544","83,531",0,"83,531",0,1,-
Water (H2O),lb/hr,"96,689","1,686","1,013","23,514","1,501","75,632",50
Hydrogen Sulfide (H2S),lb/hr,151,150,0,150,0,0,-
Sulfur dioxide (SO2),lb/hr,-,-,-,-,-,-,-
Ammonia (NH3),lb/hr,33,29,2,30,0,5,-
Nitrogen dioxide (NO2),lb/hr,-,-,-,-,-,-,-
Methane (CH4),lb/hr,"3,201","3,183",0,"3,183",0,0,-
Ethane (C2H6),lb/hr,5,5,0,5,0,0,-
Ethylene (C2H4),lb/hr,757,747,0,747,0,0,-
Acetylene (C2H2),lb/hr,66,65,0,65,0,0,-
Propane (C3H8),lb/hr,0,0,0,0,0,0,-
Propene (C3H6),lb/hr,-,-,-,-,-,-,-
I-Butane (C4H10),lb/hr,0,0,0,0,0,0,-
N-Butane (C4H10),lb/hr,0,0,0,0,0,0,-
Butenes (C4H8),lb/hr,-,-,-,-,-,-,-
Pentanes (C5H12),lb/hr,0,0,0,0,0,0,-
Pentenes (C5H10),lb/hr,-,-,-,-,-,-,-
Hexanes (C6H14),lb/hr,-,-,-,-,-,-,-
Hexenes (C6H12),lb/hr,-,-,-,-,-,-,-
Benzene (C6H6),lb/hr,6,3,0,3,0,0,-
Heptanes (C7H16),lb/hr,-,-,-,-,-,-,-
Triptane,lb/hr,-,-,-,-,-,-,-
Heptenes (C7H14),lb/hr,-,-,-,-,-,-,-
Triptene,lb/hr,-,-,-,-,-,-,-
Octanes (C8H18),lb/hr,-,-,-,-,-,-,-
Octenes (C8H16),lb/hr,-,-,-,-,-,-,-
N-Nonanes (C9H20),lb/hr,-,-,-,-,-,-,-
N-Nonenes (C9H18),lb/hr,-,-,-,-,-,-,-
Hexamethylbenzene (C6(CH3)6),lb/hr,-,-,-,-,-,-,-
Tar (C10H8),lb/hr,2,0,0,0,0,0,-
Carbon (Solid),lb/hr,-,-,-,-,-,-,-
Sulfur (Solid),lb/hr,-,-,-,-,-,-,-
Olivine + MgO (Solid),lb/hr,47,-,-,-,-,-,47
Methanol (CH4O),lb/hr,0,0,0,0,0,0,-
Dimethyl ether (C2H6O),lb/hr,-,-,-,-,-,-,-
MDEA (C5H13NO2),lb/hr,-,-,-,-,-,-,-
Ash,lb/hr,0,-,-,-,-,-,0
Char,lb/hr,4,-,-,-,-,-,4
Wood,lb/hr,0,-,-,-,-,-,0
Enthalpy Flow,MMBTU/hr,"(1,026)",(484),(7),(606),(10),(517),(0)
